eligibility,usdot,display_name,legal_name,dba_name,power_units,authority_type,license_registration_number,status,expiration_date,match_score,reasons
"STATE_AUTHORITY_REVIEW","295758","AMBASSADOR VAN LINES INC","AMBASSADOR VAN LINES INC","",1,"FL_IM","IM614","UNKNOWN","",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","3957929","A1 MOVING AND HAULING SERVICES","A1 MOVING AND HAULING SERVICES LLC","A1 MOVING AND HAULING SERVICES",1,"FL_IM","IM3609","UNKNOWN","2024-05-16T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","4080637","ALL ELITE MOVERS LLC","ALL ELITE MOVERS LLC","",1,"FL_IM","IM3771","UNKNOWN","2025-06-29T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","4188319","A&D MOVING FLORIDA CORP","A&D MOVING FLORIDA CORP","",1,"FL_IM","IM3883","UNKNOWN","2026-03-25T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","4551068","A&W PRO-MOVERS LLC","A&W PRO-MOVERS LLC","",1,"FL_IM","IM3627","UNKNOWN","2026-06-27T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","827340","AAA INSTA MOVE INC","AAA INSTA MOVE INC","",1,"FL_IM","IM42","UNKNOWN","2026-08-06T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","867707","TOTAL QUALITY MOVERS","ALLIANCE MOVERS GROUP LLC","TOTAL QUALITY MOVERS",1,"FL_IM","IM3127","UNKNOWN","2025-04-04T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","2971908","EXPAT RELOCATION SOLUTIONS & MILLS MOVE MANAGEMENT","ARCA INTERNATIONAL INC","EXPAT RELOCATION SOLUTIONS & MILLS MOVE MANAGEMENT",0,"FL_MB","MB165","UNKNOWN","2026-07-26T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","3369008","ALL COAST MOVING GROUP LLC","ALL COAST MOVING GROUP LLC","",0,"FL_MB","MB153","UNKNOWN","2025-10-09T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","3423043","ACME RELOCATION GROUP","RELOCATION MANAGEMENT GROUP INC","ACME RELOCATION GROUP",0,"FL_MB","MB131","UNKNOWN","2025-02-02T05:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","3425214","AFFORDABLE FLORIDA MOVERS INC","AFFORDABLE FLORIDA MOVERS INC","",0,"FL_IM","IM3392","UNKNOWN","2025-01-13T05:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","3637854","TRUE BLUE MOVING GROUP LLC","TRUE BLUE MOVING GROUP LLC","",0,"FL_MB","MB142","UNKNOWN","2024-06-02T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","3650420","STANLEYS MOVING & TRANSPORTATION","LUSHAS LLC","STANLEYS MOVING & TRANSPORTATION",0,"FL_MB","MB135","UNKNOWN","2023-07-07T04:00:00.000Z",55,"NAME_EXACT|POSTAL_EXACT"
"STATE_AUTHORITY_REVIEW","3697696","ELITE VAN LINES","ELITE LOGISTICS & AUTO TRANSPORTATION SERVICES LLC","ELITE VAN LINES",0,"FL_MB","MB162","UNKNOWN","2025-07-19T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","3726054","USA MOVING SOLUTIONS LLC","USA MOVING SOLUTIONS LLC","",0,"FL_MB","MB143","UNKNOWN","2024-06-21T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_AUTHORITY_REVIEW","3871231","MOVING AMERICA","MOVING AMERICA VAN LINES INC","MOVING AMERICA",0,"FL_MB","MB140","UNKNOWN","2024-04-07T04:00:00.000Z",55,"NAME_EXACT|POSTAL_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","4055942","ADVANCE SORENSEN MOVERS LLC","ADVANCE SORENSEN MOVERS LLC","",30,"FL_IM","IM3962","REGISTERED","2026-10-29T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","89741","A & A TRANSFER & STORAGE INC","A & A TRANSFER & STORAGE INC","",17,"FL_IM","IM96","REGISTERED","2027-08-19T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","2516919","1ST CLASS MOVING AND STORAGE","123 MOVING SOLUTIONS INC","1ST CLASS MOVING AND STORAGE",16,"FL_IM","IM2357","REGISTERED","2026-09-15T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","904955","ALL MY SONS MOVING & STORAGE OF ORLANDO LLC","ALL MY SONS MOVING & STORAGE OF ORLANDO LLC","",15,"FL_IM","IM113","REGISTERED","2026-08-27T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","2476441","ALL MY SONS MOVING & STORAGE OF MIAMI LLC","ALL MY SONS MOVING & STORAGE OF MIAMI LLC","",13,"FL_IM","IM2301","REGISTERED","2028-05-14T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","1892086","ALL MY SONS MOVING & STORAGE OF JACKSONVILLE LLC","ALL MY SONS MOVING & STORAGE OF JACKSONVILLE LLC","",12,"FL_IM","IM1751","REGISTERED","2026-09-07T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","2785473","ALL MY SONS OF THE PALM BEACHES LLC","ALL MY SONS OF THE PALM BEACHES LLC","",9,"FL_IM","IM2513","REGISTERED","2027-09-01T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","2303737","1776 MOVING AND STORAGE INC","1776 MOVING AND STORAGE INC","",7,"FL_IM","IM2099","REGISTERED","2028-06-01T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","2127385","AAA FLAT RATE MOVING INC","AAA FLAT RATE MOVING INC","",5,"FL_IM","IM319","REGISTERED","2026-10-17T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3399348","COLLEGE HUNKS HAULING JUNK & MOVING","ACKMAN BROTHERS LLC","COLLEGE HUNKS HAULING JUNK & MOVING",5,"FL_IM","IM3270","REGISTERED","2028-03-31T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","1443163","ALL THE RIGHT MOVES INC","ALL THE RIGHT MOVES INC","",4,"FL_IM","IM1660","REGISTERED","2026-11-02T05:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","1421703","BIG BOYS MOVING COMPANY","A BIG BOYZ MOVING COMPANY","BIG BOYS MOVING COMPANY",2,"FL_IM","IM1226","REGISTERED","2028-04-16T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","1545968","ABA MOVING INC","ABA MOVING INC","",2,"FL_IM","IM1100","REGISTERED","2028-04-23T04:00:00.000Z",85,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","1883785","ALL-ROADS EXPRESS CORP","ALL-ROADS EXPRESS CORP","",2,"FL_IM","IM2866","REGISTERED","2027-10-20T04:00:00.000Z",85,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","2811689","ALL AMERICAN MOVING AND STORAGE INC","ALL AMERICAN MOVING AND STORAGE INC","",2,"FL_IM","IM2564","REGISTERED","2026-09-21T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","2844603","ALWAYS FAITHFUL MOVING LLC","ALWAYS FAITHFUL MOVING LLC","",2,"FL_IM","IM2041","REGISTERED","2027-12-05T05:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3042772","ALL AMERICAN MUSCLE MOVING LLC","ALL AMERICAN MUSCLE MOVING LLC","",2,"FL_IM","IM2828","REGISTERED","2027-08-04T04:00:00.000Z",75,"NAME_EXACT|PHONE_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3648910","ALEX BUITRAGO LLC","ALEX BUITRAGO LLC","",2,"FL_IM","IM3897","REGISTERED","2028-04-26T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3677949","ACE RELOCATIONS INC","ACE RELOCATIONS INC","",2,"FL_IM","IM3977","REGISTERED","2026-12-17T05:00:00.000Z",85,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","4354126","904 MOVERS LLC","904 MOVERS LLC","",2,"FL_IM","IM3996","REGISTERED","2027-02-25T05:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","843253","A A A ADA MOVING & STORAGE INC","A A A ADA MOVING & STORAGE INC","",2,"FL_IM","IM214","REGISTERED","2026-10-15T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","1221918","A B C MOVING INC","A B C MOVING INC","",1,"FL_IM","IM1079","REGISTERED","2028-06-18T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","1472849","ROYAL MOVING & STORAGE APPLE MOVING & STORAGE","A & R MOVING INC","ROYAL MOVING & STORAGE APPLE MOVING & STORAGE",1,"FL_IM","IM426","REGISTERED","2028-03-02T05:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","1608023","A1ACE MOVERS INC","A1ACE MOVERS INC","",1,"FL_IM","IM1426","REGISTERED","2026-12-13T05:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","1955681","AGS DELIVERIES LLC","AGS DELIVERIES LLC","",1,"FL_IM","IM3496","REGISTERED","2027-07-30T04:00:00.000Z",85,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","2475548","ALWAYS FAITHFUL MOVING LLC","ALWAYS FAITHFUL MOVING LLC","",1,"FL_IM","IM2041","REGISTERED","2027-12-05T05:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","2531583","ARMS","A ROYAL MOVING AND STORAGE INC","ARMS",1,"FL_IM","IM8","REGISTERED","2026-09-03T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3161573","ONE TOUCH MOVING","A1A MOVING & TRANSPORT LLC","ONE TOUCH MOVING",1,"FL_IM","IM2518","REGISTERED","2027-09-17T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3233732","ABC MOVING INC","ABC MOVING INC","",1,"FL_IM","IM1079","REGISTERED","2028-06-18T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3461011","5 STARR MOVING & CLEANING LLC","5 STARR MOVING & CLEANING LLC","",1,"FL_IM","IM3338","REGISTERED","2026-09-14T04:00:00.000Z",85,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3478342","352 MOVERS LLC","352 MOVERS LLC","",1,"FL_IM","IM3742","REGISTERED","2027-04-21T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3524598","ALL STAR MOVING&STORAGE VAN LINES RELOCATION LLC","ALL STAR MOVING&STORAGE VAN LINES RELOCATION LLC","",1,"FL_IM","IM3442","REGISTERED","2027-04-02T04:00:00.000Z",75,"NAME_EXACT|PHONE_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3559715","ALL EXCELLENT LLC","ALL EXCELLENT LLC","",1,"FL_IM","IM3417","REGISTERED","2027-03-10T05:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3655636","ALEJANDRO MOVERS INC","ALEJANDRO MOVERS INC","",1,"FL_IM","IM4062","REGISTERED","2027-07-24T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","4136136","305 PRO MOVERS CORP","305 PRO MOVERS CORP","",1,"FL_IM","IM3744","REGISTERED","2027-04-24T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","4225514","727 MOVING LLC","727 MOVING LLC","",1,"FL_IM","IM3657","REGISTERED","2026-08-31T04:00:00.000Z",80,"NAME_EXACT|PHONE_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","4229744","ACCOUNTABLE MOVING LLC","ACCOUNTABLE MOVING LLC","",1,"FL_IM","IM4007","REGISTERED","2027-03-19T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","4507344","ALTAMO LLC","ALTAMO LLC","",1,"FL_IM","IM4065","REGISTERED","2027-07-30T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","971686","ALL DIRECTIONS MOVING & STORAGE INC","ALL DIRECTIONS MOVING & STORAGE INC","",1,"FL_IM","IM928","REGISTERED","2027-03-20T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","3507074","ALLEGIANCE VAN LINES LLC","ALLEGIANCE VAN LINES LLC","",0,"FL_IM","IM3680","REGISTERED","2026-11-02T05:00:00.000Z",80,"NAME_EXACT|PHONE_EXACT|CITY_EXACT"
"STATE_VERIFIED_LOCAL_MOVER","4534724","1TRUCK 2MOVERS LLC","1TRUCK 2MOVERS LLC","",0,"FL_IM","IM4149","REGISTERED","2028-01-20T05:00:00.000Z",75,"NAME_EXACT|PHONE_EXACT"
"STATE_VERIFIED_MOVING_BROKER","3341650","AMERISAFE VANLINES","AMS MOVING INC","AMERISAFE VANLINES",6,"FL_MB","MB137","REGISTERED","2027-09-17T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_MOVING_BROKER","3155501","REAL TIME RELOCATION LLC","REAL TIME RELOCATION LLC","",1,"FL_MB","MB159","REGISTERED","2027-02-08T05:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_MOVING_BROKER","925665","WILDCAT CONTAINER SERVICES","SUDDATH CONTAINER SERVICES INC","WILDCAT CONTAINER SERVICES",1,"FL_MB","MB12","REGISTERED","2027-08-04T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_MOVING_BROKER","3197443","PINNACLE VAN LINES LLC","PINNACLE VAN LINES LLC","",0,"FL_MB","MB171","REGISTERED","2027-02-03T05:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_MOVING_BROKER","3710555","BRONZE STAR MOVING AND STORAGE INCORPORATED","BRONZE STAR MOVING AND STORAGE INCORPORATED","",0,"FL_MB","MB144","REGISTERED","2028-10-25T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_MOVING_BROKER","4021844","MOVESAFE RELOCATION","EVERSAFE MOVING AND STORAGE LLC","MOVESAFE RELOCATION",0,"FL_MB","MB151","REGISTERED","2027-07-11T04:00:00.000Z",75,"NAME_EXACT|PHONE_EXACT"
"STATE_VERIFIED_MOVING_BROKER","4090919","COASTAL MOVING SERVICES LLC","COASTAL MOVING SERVICES LLC","",0,"FL_MB","MB157","REGISTERED","2028-04-29T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_MOVING_BROKER","4149532","NONE","SWIFT SHIFT VAN LINES LLC","NONE",0,"FL_MB","MB161","REGISTERED","2027-07-03T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_MOVING_BROKER","4240167","AMERICA'S CHOICE VAN LINES INC","AMERICA'S CHOICE VAN LINES INC","",0,"FL_MB","MB166","REGISTERED","2026-09-04T04:00:00.000Z",90,"NAME_EXACT|PHONE_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_MOVING_BROKER","4257779","NORTHERN RELOCATION LLC","NORTHERN RELOCATION LLC","",0,"FL_MB","MB169","REGISTERED","2027-06-02T04:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
"STATE_VERIFIED_MOVING_BROKER","4477071","MBA RELOCATION SOLUTIONS LLC","MBA RELOCATION SOLUTIONS LLC","",0,"FL_MB","MB170","REGISTERED","2027-12-03T05:00:00.000Z",60,"NAME_EXACT|POSTAL_EXACT|CITY_EXACT"
